ITER First WALL/Divertor, Y. Gribov, 14/12/2010
44
R [m]	Z [m]
4.2	-2.4
4.3257	-2.6514
4.4408	-2.7808
4.5066	-2.941
4.5157	-3.1139
4.467	-3.2801
4.3773	-3.4689
4.3115	-3.6075
4.2457	-3.7461
4.1799	-3.8847
4.4918	-3.9092
4.900	-4.0000	
5.2727	-4.2636
5.565	-4.5559
5.565	-4.4026
5.565	-4.2494
5.565	-4.0962
5.565	-3.9961
5.572	-3.896
5.6008	-3.7024
5.6842	-3.5265
5.815	-3.3823
5.9821	-3.2822
6.267	-3.046
7.283	-2.257
7.899	-1.342
8.28	-0.421
8.395	0.58
8.395	0.72
8.27	1.681
7.904	2.464
7.4	3.179
6.587	3.894
5.753	4.532
4.904	4.712
4.311	4.324
4.126	3.582
4.076	2.566
4.046	1.549
4.046	0.533
4.067	-0.484
4.097	-1.5
4.15	-2.1
4.2	-2.4
